algorithm,num_procs,dtype,message_size_bytes,time_stat,time_seconds,algbw_GBps,busbw_GBps,num_reps
ring,2,float,2097152,min,0.000133752,15.6794,15.6794,1000
ring,2,float,2097152,mean,0.000147578,14.2104,14.2104,1000
ring,2,float,2097152,median,0.00014142,14.8293,14.8293,1000
ring,2,float,2097152,max,0.000268134,7.82128,7.82128,1000
ring,2,float,2097152,stddev,1.63883e-05,127.966,127.966,1000
mpi-default,2,float,2097152,min,0.000132736,15.7994,15.7994,1000
mpi-default,2,float,2097152,mean,0.000149792,14.0004,14.0004,1000
mpi-default,2,float,2097152,median,0.000142339,14.7335,14.7335,1000
mpi-default,2,float,2097152,max,0.000469168,4.46994,4.46994,1000
mpi-default,2,float,2097152,stddev,2.60535e-05,80.4941,80.4941,1000
ring,2,float,4194304,min,0.000263192,15.9363,15.9363,1000
ring,2,float,4194304,mean,0.000290239,14.4512,14.4512,1000
ring,2,float,4194304,median,0.000284454,14.7451,14.7451,1000
ring,2,float,4194304,max,0.000761924,5.50489,5.50489,1000
ring,2,float,4194304,stddev,2.65002e-05,158.275,158.275,1000
mpi-default,2,float,4194304,min,0.000269114,15.5856,15.5856,995
mpi-default,2,float,4194304,mean,0.00030179,13.8981,13.8981,995
mpi-default,2,float,4194304,median,0.000291994,14.3643,14.3643,995
mpi-default,2,float,4194304,max,0.000561011,7.47633,7.47633,995
mpi-default,2,float,4194304,stddev,3.50627e-05,119.623,119.623,995
ring,2,float,8388608,min,0.000656877,12.7704,12.7704,353
ring,2,float,8388608,mean,0.00084998,9.86918,9.86918,353
ring,2,float,8388608,median,0.000818935,10.2433,10.2433,353
ring,2,float,8388608,max,0.00154207,5.43984,5.43984,353
ring,2,float,8388608,stddev,0.000135071,62.105,62.105,353
mpi-default,2,float,8388608,min,0.000627615,13.3659,13.3659,392
mpi-default,2,float,8388608,mean,0.00076675,10.9405,10.9405,392
mpi-default,2,float,8388608,median,0.000743733,11.2791,11.2791,392
mpi-default,2,float,8388608,max,0.0014587,5.75073,5.75073,392
mpi-default,2,float,8388608,stddev,0.000104426,80.3308,80.3308,392
ring,2,float,16777216,min,0.00242758,6.91108,6.91108,102
ring,2,float,16777216,mean,0.00295353,5.6804,5.6804,102
ring,2,float,16777216,median,0.00291229,5.76083,5.76083,102
ring,2,float,16777216,max,0.00618931,2.71068,2.71068,102
ring,2,float,16777216,stddev,0.000442127,37.9466,37.9466,102
mpi-default,2,float,16777216,min,0.00238253,7.04176,7.04176,109
mpi-default,2,float,16777216,mean,0.00276303,6.07203,6.07203,109
mpi-default,2,float,16777216,median,0.00272493,6.15694,6.15694,109
mpi-default,2,float,16777216,max,0.00344592,4.86872,4.86872,109
mpi-default,2,float,16777216,stddev,0.000217144,77.2632,77.2632,109
ring,2,float,33554432,min,0.00567418,5.91353,5.91353,48
ring,2,float,33554432,mean,0.006318,5.31093,5.31093,48
ring,2,float,33554432,median,0.00622281,5.39217,5.39217,48
ring,2,float,33554432,max,0.00723974,4.63476,4.63476,48
ring,2,float,33554432,stddev,0.000373066,89.9424,89.9424,48
mpi-default,2,float,33554432,min,0.00815551,4.11433,4.11433,35
mpi-default,2,float,33554432,mean,0.00866468,3.87255,3.87255,35
mpi-default,2,float,33554432,median,0.00846668,3.96312,3.96312,35
mpi-default,2,float,33554432,max,0.0119264,2.81346,2.81346,35
mpi-default,2,float,33554432,stddev,0.000714327,46.9735,46.9735,35
ring,2,float,67108864,min,0.0115583,5.80612,5.80612,25
ring,2,float,67108864,mean,0.0122826,5.46372,5.46372,25
ring,2,float,67108864,median,0.0121961,5.5025,5.5025,25
ring,2,float,67108864,max,0.0133967,5.00937,5.00937,25
ring,2,float,67108864,stddev,0.00046954,142.925,142.925,25
mpi-default,2,float,67108864,min,0.0167267,4.01207,4.01207,18
mpi-default,2,float,67108864,mean,0.0171856,3.90496,3.90496,18
mpi-default,2,float,67108864,median,0.017102,3.92404,3.92404,18
mpi-default,2,float,67108864,max,0.0181231,3.70295,3.70295,18
mpi-default,2,float,67108864,stddev,0.000366921,182.898,182.898,18
ring,2,float,134217728,min,0.0230184,5.83089,5.83089,13
ring,2,float,134217728,mean,0.024076,5.57475,5.57475,13
ring,2,float,134217728,median,0.0239914,5.59441,5.59441,13
ring,2,float,134217728,max,0.0249906,5.37073,5.37073,13
ring,2,float,134217728,stddev,0.000535309,250.729,250.729,13
mpi-default,2,float,134217728,min,0.0331523,4.04852,4.04852,9
mpi-default,2,float,134217728,mean,0.0341183,3.9339,3.9339,9
mpi-default,2,float,134217728,median,0.0341283,3.93274,3.93274,9
mpi-default,2,float,134217728,max,0.035344,3.79747,3.79747,9
mpi-default,2,float,134217728,stddev,0.000746929,179.693,179.693,9
mpi-ring,2,float,8,min,3.29e-07,0.0243161,0.0243161,1000
mpi-ring,2,float,8,mean,4.72405e-07,0.0169346,0.0169346,1000
mpi-ring,2,float,8,median,4.57e-07,0.0175055,0.0175055,1000
mpi-ring,2,float,8,max,2.829e-06,0.00282785,0.00282785,1000
mpi-ring,2,float,8,stddev,1.22591e-07,0.0652577,0.0652577,1000
mpi-ring,2,float,16,min,3.24e-07,0.0493827,0.0493827,1000
mpi-ring,2,float,16,mean,4.91009e-07,0.032586,0.032586,1000
mpi-ring,2,float,16,median,4.61e-07,0.0347072,0.0347072,1000
mpi-ring,2,float,16,max,1.1024e-05,0.00145138,0.00145138,1000
mpi-ring,2,float,16,stddev,5.01092e-07,0.0319302,0.0319302,1000
mpi-ring,2,float,32,min,3.93e-07,0.0814249,0.0814249,1000
mpi-ring,2,float,32,mean,5.59788e-07,0.0571645,0.0571645,1000
mpi-ring,2,float,32,median,5.39e-07,0.0593692,0.0593692,1000
mpi-ring,2,float,32,max,8.935e-06,0.00358142,0.00358142,1000
mpi-ring,2,float,32,stddev,2.82331e-07,0.113342,0.113342,1000
